"Date","Subways: Total Estimated Ridership","Subways: % of Comparable Pre-Pandemic Day","Buses: Total Estimated Ridership","Buses: % of Comparable Pre-Pandemic Day","LIRR: Total Estimated Ridership","LIRR: % of Comparable Pre-Pandemic Day","Metro-North: Total Estimated Ridership","Metro-North: % of Comparable Pre-Pandemic Day","Access-A-Ride: Total Scheduled Trips","Access-A-Ride: % of Comparable Pre-Pandemic Day","Bridges and Tunnels: Total Traffic","Bridges and Tunnels: % of Comparable Pre-Pandemic Day","Staten Island Railway: Total Estimated Ridership","Staten Island Railway: % of Comparable Pre-Pandemic Day"
"03/01/2020","2,212,965","97%","984,908","99%","86,790","100%","55,825","59%","19,922","113%","786,960","98%","1,636","52%"
"03/02/2020","5,329,915","96%","2,209,066","99%","321,569","103%","180,701","66%","30,338","102%","874,619","95%","17,140","107%"
"03/03/2020","5,481,103","98%","2,228,608","99%","319,727","102%","190,648","69%","32,767","110%","882,175","96%","17,453","109%"
"03/04/2020","5,498,809","99%","2,177,165","97%","311,662","99%","192,689","70%","34,297","115%","905,558","98%","17,136","107%"
"03/05/2020","5,496,453","99%","2,244,515","100%","307,597","98%","194,386","70%","33,209","112%","929,298","101%","17,203","108%"
"03/06/2020","5,189,447","93%","2,066,743","92%","289,171","92%","205,056","74%","30,970","104%","945,408","103%","15,285","96%"
"03/07/2020","2,814,637","92%","1,249,085","94%","106,058","98%","75,838","56%","18,117","107%","827,907","95%","2,445","48%"
"03/08/2020","2,120,656","93%","957,163","96%","81,565","94%","60,800","64%","19,477","111%","765,083","95%","1,672","53%"
"03/09/2020","4,973,513","89%","2,124,770","95%","277,001","88%","183,953","67%","29,609","100%","860,073","93%","16,122","101%"
"03/10/2020","4,867,818","87%","2,111,989","94%","259,324","83%","179,050","65%","31,315","105%","855,585","93%","15,805","99%"
"03/11/2020","4,697,122","84%","2,112,967","94%","245,798","78%","175,074","63%","32,198","108%","866,706","94%","15,340","96%"
"03/12/2020","4,149,505","75%","1,938,424","86%","197,178","63%","169,547","61%","30,814","104%","881,188","96%","14,169","89%"
"03/13/2020","3,484,996","63%","1,715,737","77%","158,582","51%","167,176","61%","26,640","90%","860,419","93%","11,769","74%"
"03/14/2020","1,670,665","54%","993,287","75%","44,885","42%","39,701","29%","13,394","79%","631,101","72%","2,135","42%"
"03/15/2020","1,157,711","51%","711,555","72%","33,407","38%","32,641","35%","12,480","71%","535,987","66%","1,368","43%"
"03/16/2020","2,178,555","39%","1,237,309","55%","119,333","38%","153,262","56%","21,145","71%","708,869","77%","5,741","36%"
"03/17/2020","1,788,786","32%","1,094,949","49%","83,578","27%","147,391","53%","18,173","61%","650,444","71%","4,573","29%"
"03/18/2020","1,625,280","29%","1,059,502","47%","74,883","24%","146,118","53%","15,942","54%","634,853","69%","4,133","26%"
"03/19/2020","1,422,112","26%","933,602","42%","59,538","19%","144,466","52%","14,116","47%","569,696","62%","3,452","22%"
"03/20/2020","1,309,125","24%","868,602","39%","50,021","16%","145,160","53%","12,744","43%","563,261","61%","3,124","20%"
"03/21/2020","619,618","20%","411,491","31%","12,438","12%","23,700","17%","6,467","38%","382,992","44%","1,044","21%"
"03/22/2020","408,723","18%","73,517","7%","8,891","10%","20,830","22%","4,824","27%","277,050","34%","641","20%"
"03/23/2020","709,499","13%","59,321","3%","30,564","10%","139,285","51%","9,902","33%","361,513","39%","1,639","10%"
"03/24/2020","741,587","13%","60,334","3%","29,785","10%","139,194","50%","9,133","31%","395,493","43%","1,727","11%"
"03/25/2020","690,032","12%","51,769","2%","26,143","8%","138,239","50%","9,512","32%","375,767","41%","1,572","10%"
"03/26/2020","680,360","12%","49,970","2%","23,809","8%","138,668","50%","8,795","30%","390,117","42%","1,563","10%"
"03/27/2020","656,817","12%","45,514","2%","20,355","6%","138,903","50%","8,409","28%","396,777","43%","1,495","9%"
"03/28/2020","332,393","11%","19,745","1%","5,279","5%","19,088","14%","4,491","27%","240,702","28%","600","12%"
"03/29/2020","263,700","12%","14,307","1%","4,358","5%","18,152","19%","3,374","19%","197,154","24%","419","13%"
"03/30/2020","545,215","10%","33,659","2%","19,741","6%","137,762","50%","8,084","27%","344,689","37%","1,140","7%"
"03/31/2020","508,106","9%","32,211","1%","16,194","5%","137,464","50%","7,672","26%","337,626","37%","1,043","7%"
"04/01/2020","513,481","9%","29,373","1%","10,548","3%","9,300","3%","8,151","28%","342,221","36%","720","4%"
"04/02/2020","485,586","9%","26,788","1%","10,057","3%","9,492","3%","7,077","24%","339,734","36%","882","5%"
"04/03/2020","483,357","9%","24,418","1%","9,657","3%","9,770","3%","7,794","27%","340,272","36%","843","5%"
"04/04/2020","282,278","9%","13,168","1%","3,727","3%","4,451","3%","4,375","26%","243,323","27%","425","8%"
"04/05/2020","227,303","9%","9,748","1%","2,969","3%","3,601","3%","2,763","15%","209,151","24%","300","9%"
"04/06/2020","445,454","8%","22,418","1%","10,127","3%","9,832","3%","7,093","25%","335,768","36%","819","5%"
"04/07/2020","434,986","8%","21,623","1%","9,312","3%","9,589","3%","7,041","24%","335,469","36%","732","5%"
"04/08/2020","427,485","8%","20,361","1%","9,039","3%","9,292","3%","6,950","24%","324,881","35%","721","4%"
"04/09/2020","404,635","7%","18,734","1%","8,413","3%","8,931","3%","6,243","22%","303,480","32%","690","4%"
"04/10/2020","400,275","7%","17,135","1%","8,247","3%","9,573","3%","5,378","19%","314,099","33%","672","4%"
"04/11/2020","257,061","8%","9,718","1%","2,749","2%","4,179","3%","4,235","25%","254,754","28%","406","8%"
"04/12/2020","198,399","8%","7,041","1%","2,245","2%","3,281","3%","2,525","14%","217,871","25%","294","9%"
"04/13/2020","363,312","7%","14,408","1%","8,192","3%","8,824","3%","6,205","21%","284,608","30%","649","4%"
"04/14/2020","430,155","8%","17,937","1%","8,816","3%","9,592","3%","6,585","23%","356,104","38%","791","5%"
"04/15/2020","419,059","8%","16,895","1%","8,596","3%","9,492","3%","6,928","24%","340,212","36%","792","5%"
"04/16/2020","420,223","8%","16,632","1%","8,462","3%","9,528","3%","6,563","23%","346,341","37%","790","5%"
"04/17/2020","432,368","8%","16,350","1%","8,271","3%","9,989","3%","7,048","24%","378,350","40%","738","5%"
"04/18/2020","254,453","8%","8,115","1%","2,449","2%","3,965","3%","4,202","25%","254,734","28%","339","7%"
"04/19/2020","224,411","9%","6,929","1%","2,159","2%","3,884","4%","2,742","15%","276,406","32%","340","10%"
"04/20/2020","437,852","8%","16,522","1%","8,912","3%","10,063","4%","7,050","24%","371,776","40%","770","5%"
"04/21/2020","422,107","8%","15,231","1%","8,264","3%","9,374","3%","6,613","23%","356,098","38%","753","5%"
"04/22/2020","458,781","8%","16,487","1%","8,674","3%","9,694","3%","7,496","26%","398,703","42%","793","5%"
"04/23/2020","453,520","8%","15,786","1%","8,425","3%","9,527","3%","6,969","24%","386,937","41%","780","5%"
"04/24/2020","443,956","8%","14,237","1%","7,821","3%","9,722","3%","7,040","24%","386,935","41%","688","4%"
"04/25/2020","295,387","9%","8,832","1%","2,869","3%","4,987","3%","4,719","28%","350,299","38%","449","9%"
"04/26/2020","218,787","9%","5,498","1%","1,903","2%","3,495","3%","2,506","13%","231,540","27%","309","9%"
"04/27/2020","462,888","8%","15,283","1%","8,828","3%","10,243","4%","6,922","24%","384,123","41%","812","5%"
"04/28/2020","489,247","9%","16,380","1%","9,167","3%","10,531","4%","7,542","26%","436,346","46%","826","5%"
"04/29/2020","477,799","9%","15,406","1%","9,100","3%","10,165","4%","7,844","27%","410,502","44%","790","5%"
"04/30/2020","465,869","8%","14,062","1%","9,335","3%","9,971","3%","7,253","25%","405,168","43%","764","5%"
"05/01/2020","494,549","9%","14,893","1%","6,200","2%","9,206","3%","8,332","28%","445,621","46%","763","4%"
"05/02/2020","325,865","10%","8,912","1%","3,959","3%","5,908","4%","5,493","32%","401,938","42%","489","10%"
"05/03/2020","258,865","11%","6,404","1%","3,314","3%","4,839","5%","3,263","19%","353,314","41%","334","9%"
"05/04/2020","511,866","9%","16,315","1%","11,158","3%","10,764","4%","8,287","28%","447,424","46%","897","5%"
"05/05/2020","522,085","9%","16,377","1%","13,265","4%","10,604","4%","8,445","29%","462,085","48%","894","5%"
"05/06/2020","508,824","9%","15,677","1%","14,489","5%","10,107","4%","8,832","30%","444,179","46%","822","5%"
"05/07/2020","535,073","9%","16,130","1%","16,139","5%","11,247","4%","8,509","29%","488,836","51%","930","5%"
"05/08/2020","526,054","9%","14,571","1%","15,714","5%","11,242","4%","8,656","29%","483,830","50%","811","5%"
"05/09/2020","316,883","10%","7,594","1%","7,651","6%","6,017","4%","5,055","29%","371,426","39%","489","10%"
"05/10/2020","271,947","11%","6,367","1%","7,990","8%","5,878","6%","3,962","23%","415,867","49%","406","12%"
"05/11/2020","520,873","9%","15,176","1%","18,349","6%","11,434","4%","7,636","26%","458,041","48%","829","5%"
"05/12/2020","553,372","10%","15,989","1%","19,018","6%","11,488","4%","8,271","28%","488,406","51%","914","5%"
"05/13/2020","565,377","10%","16,170","1%","19,356","6%","11,931","4%","9,437","32%","509,243","53%","956","5%"
"05/14/2020","567,392","10%","15,905","1%","19,310","6%","12,131","4%","8,855","30%","520,395","54%","923","5%"
"05/15/2020","587,808","10%","15,481","1%","20,092","6%","12,936","5%","9,473","32%","562,990","58%","976","6%"
"05/16/2020","360,844","11%","8,742","1%","11,075","9%","8,100","5%","5,947","34%","477,097","50%","485","10%"
"05/17/2020","287,418","12%","6,504","1%","8,793","9%","6,168","6%","3,577","21%","391,606","46%","337","10%"
"05/18/2020","595,469","10%","17,206","1%","22,113","7%","13,141","5%","8,969","31%","505,314","53%","1,036","6%"
"05/19/2020","610,884","11%","17,296","1%","21,599","7%","12,777","4%","9,290","32%","524,482","54%","1,067","6%"
"05/20/2020","623,749","11%","17,674","1%","22,224","7%","12,753","4%","10,224","35%","542,409","56%","1,044","6%"
"05/21/2020","629,298","11%","17,565","1%","22,585","7%","13,294","5%","9,731","33%","585,552","61%","1,069","6%"
"05/22/2020","633,883","11%","16,453","1%","22,830","7%","14,711","5%","9,782","33%","626,983","65%","1,046","6%"
"05/23/2020","335,830","10%","7,186","1%","10,983","9%","7,613","5%","5,550","32%","394,091","41%","420","9%"
"05/24/2020","320,015","13%","6,642","1%","11,871","12%","8,977","9%","4,117","24%","461,170","54%","361","10%"
"05/25/2020","393,918","16%","7,996","1%","19,321","20%","12,982","12%","5,428","32%","445,015","52%","441","13%"
"05/26/2020","656,766","11%","17,819","1%","26,691","8%","14,937","5%","9,875","34%","587,269","61%","1,173","7%"
"05/27/2020","674,465","12%","17,911","1%","26,483","8%","14,432","5%","11,088","38%","601,140","62%","1,240","7%"
"05/28/2020","658,057","12%","17,535","1%","25,175","8%","14,161","5%","10,030","34%","584,628","61%","1,191","7%"
"05/29/2020","657,259","11%","16,378","1%","25,070","8%","15,697","5%","10,185","35%","598,607","62%","1,094","6%"
"05/30/2020","426,737","13%","9,112","1%","15,557","13%","11,003","7%","6,143","35%","537,179","56%","18","0%"
"05/31/2020","344,426","14%","6,724","1%","13,554","14%","9,390","9%","4,216","25%","495,487","58%","2","0%"
"06/01/2020","687,162","12%","17,833","1%","34,339","10%","16,184","5%","10,760","37%","595,059","61%","1,358","8%"
"06/02/2020","693,760","12%","16,576","1%","33,769","10%","16,294","6%","11,206","38%","579,411","59%","1,516","9%"
"06/03/2020","681,714","12%","17,830","1%","32,523","10%","15,649","5%","11,962","41%","582,624","59%","1,323","8%"
"06/04/2020","726,672","13%","18,538","1%","29,771","9%","17,149","6%","12,000","41%","650,868","66%","1,346","8%"
"06/05/2020","703,576","13%","16,863","1%","33,482","10%","18,065","6%","11,698","40%","643,562","65%","1,249","8%"
"06/06/2020","464,198","14%","8,912","1%","18,090","15%","12,179","8%","6,591","38%","551,793","56%","9","0%"
"06/07/2020","377,990","14%","7,579","1%","16,797","17%","11,231","10%","4,650","26%","538,418","58%","95","2%"
"06/08/2020","804,542","14%","25,663","1%","42,630","13%","20,140","7%","11,957","41%","644,829","66%","1,596","10%"
"06/09/2020","842,306","15%","26,247","1%","42,274","13%","19,543","7%","12,869","44%","680,462","69%","1,662","10%"
"06/10/2020","857,015","15%","26,735","1%","43,083","13%","20,517","7%","13,616","46%","680,270","69%","1,767","11%"
"06/11/2020","818,297","15%","24,284","1%","40,961","12%","19,525","7%","12,514","43%","656,695","67%","1,576","10%"
"06/12/2020","896,658","16%","24,459","1%","45,072","14%","24,165","8%","13,224","45%","765,491","78%","1,656","10%"
"06/13/2020","545,316","17%","12,115","1%","25,355","21%","16,675","11%","7,794","45%","631,064","64%","17","0%"
"06/14/2020","430,439","16%","8,731","1%","20,859","21%","13,794","13%","5,195","29%","563,725","61%","7","0%"
"06/15/2020","897,112","16%","27,057","1%","47,545","14%","22,841","8%","12,953","44%","674,785","69%","1,813","11%"
"06/16/2020","932,671","17%","28,049","1%","46,876","14%","22,555","8%","12,939","44%","695,359","71%","1,874","12%"
"06/17/2020","948,461","17%","27,924","1%","47,166","14%","24,167","8%","14,595","50%","709,679","72%","1,857","11%"
"06/18/2020","942,382","17%","27,516","1%","47,851","14%","24,081","8%","13,808","47%","729,486","74%","1,936","12%"
"06/19/2020","986,929","38%","25,578","2%","50,201","51%","27,772","25%","13,868","77%","797,518","86%","1,751","45%"
"06/20/2020","576,075","18%","11,899","1%","28,959","24%","18,559","12%","8,185","47%","666,226","68%","22","0%"
"06/21/2020","449,497","17%","9,072","1%","27,094","28%","16,719","15%","6,328","35%","654,913","71%","0","0%"
"06/22/2020","1,000,046","18%","30,863","1%","53,878","16%","25,367","9%","13,314","45%","733,290","75%","2,027","13%"
"06/23/2020","1,050,786","19%","32,305","2%","52,898","16%","24,909","8%","15,069","51%","744,822","76%","2,219","14%"
"06/24/2020","1,068,333","19%","32,504","2%","52,354","16%","25,277","9%","15,155","52%","752,749","77%","2,194","14%"
"06/25/2020","1,078,796","19%","32,393","2%","53,444","16%","25,644","9%","14,854","51%","781,617","79%","2,210","14%"
"06/26/2020","1,102,382","20%","30,480","1%","55,647","17%","29,700","10%","15,048","51%","830,887","85%","2,115","13%"
"06/27/2020","615,398","19%","12,942","1%","26,773","22%","17,932","11%","8,541","49%","630,730","64%","686","14%"
"06/28/2020","535,898","20%","10,167","1%","25,680","26%","15,918","15%","5,748","32%","623,131","67%","590","15%"
"06/29/2020","1,100,769","20%","33,264","2%","63,309","19%","28,163","10%","14,705","50%","767,165","78%","2,317","14%"
"06/30/2020","1,113,124","20%","33,996","2%","57,955","17%","27,077","9%","15,291","52%","758,785","77%","2,386","15%"
"07/01/2020","1,120,537","21%","32,921","2%","56,505","18%","27,770","10%","16,451","58%","779,409","81%","2,305","17%"
"07/02/2020","1,170,483","22%","32,730","2%","64,261","20%","31,948","11%","15,981","56%","881,471","92%","2,365","17%"
"07/03/2020","851,877","36%","16,862","2%","56,181","54%","32,049","30%","10,915","66%","713,240","81%","1,138","32%"
"07/04/2020","591,605","21%","10,769","1%","38,388","30%","22,085","14%","8,391","53%","569,212","62%","690","14%"
"07/05/2020","533,692","23%","9,832","1%","34,569","33%","19,136","18%","6,280","38%","659,099","75%","528","15%"
"07/06/2020","1,084,956","21%","31,548","2%","63,862","20%","30,556","11%","14,886","53%","750,583","78%","2,222","16%"
"07/07/2020","1,157,185","22%","33,595","2%","61,756","20%","30,507","11%","16,003","56%","749,832","78%","2,403","17%"
"07/08/2020","1,172,279","22%","34,242","2%","63,048","20%","30,174","11%","16,980","60%","758,208","79%","2,454","18%"
"07/09/2020","1,211,280","23%","34,762","2%","65,483","21%","31,913","11%","17,017","60%","818,034","85%","2,571","19%"
